ID,COUNTY,countyname,state,population,counts.sum,region,region2,indices.avg,counts.sum,voc.indices.avg,soc.indices.avg,metal.indices.avg,dbp.indices.avg,pfas.indices.avg,horm.indices.avg,indices.sum,countynamenospace
0,1001,AUTAUGA,AL,500,1916,East South Central,South-East,0.279085651,1916,0,0,1.043131388,0,0.050171666,0,9.209826497,AUTAUGA
1,1003,BALDWIN,AL,195540,2912,East South Central,South-East,0.459403726,2912,0.117701249,0.602059991,1.129058582,1.447158031,0,0,9.647478253,BALDWIN
2,1005,BARBOUR,AL,27076,616,East South Central,South-East,0.09992466,616,0,0,0.466315081,0,0,0,2.797890483,BARBOUR
3,1007,BIBB,AL,22512,280,East South Central,South-East,0.230454705,280,0,0,0.773303065,1.812913357,0,0,6.452731749,BIBB
4,1009,BLOUNT,AL,57872,2242,East South Central,South-East,0.349895003,2242,0,0.535113202,0.89687779,2.113943352,0.177824465,0,9.097270086,BLOUNT
5,1011,BULLOCK,AL,10639,630,East South Central,South-East,0.165369355,630,0,0,0.578792741,0,0,0,3.472756449,BULLOCK
6,1013,BUTLER,AL,20265,224,East South Central,South-East,0.140678215,224,0,0,0.492373751,0,0,0,2.954242509,BUTLER
7,1015,CALHOUN,AL,116736,1120,East South Central,South-East,0.348280998,1120,0.103856961,1.711204461,0.642418077,1.021189299,0,0,7.313900951,CALHOUN
8,1017,CHAMBERS,AL,34162,480,East South Central,South-East,0.277145706,480,0,0.516629796,0.732082229,1.77815125,0,0,7.205788358,CHAMBERS
9,1019,CHEROKEE,AL,26203,4592,East South Central,South-East,0.410303356,4592,0,0.535113202,0.816727855,2.113943352,0.177824465,0,8.616370474,CHEROKEE
10,1021,CHILTON,AL,43951,680,East South Central,South-East,0.253919961,680,0,0.057991947,0.827148016,1.267171728,0,0,6.60191899,CHILTON
11,1023,CHOCTAW,AL,13426,28,East South Central,South-East,0,28,0,0,0,0,0,0,0,CHOCTAW
12,1027,CLAY,AL,13486,475,East South Central,South-East,0.207954055,475,0,1.041392685,0.789988029,0,0,0.005913241,5.822713547,CLAY
13,1031,COFFEE,AL,50938,288,East South Central,South-East,0.211151889,288,0,0,0.644449971,0,0,0,5.489949113,COFFEE
14,1033,COLBERT,AL,54520,3462,East South Central,South-East,0.499139397,3462,0,1.15490196,1.177807918,1.903089987,0.095671878,0,12.97762433,COLBERT
15,1037,COOSA,AL,10898,448,East South Central,South-East,0.319918397,448,0.030439261,0.711204461,0.68546097,1.681241237,0,0,6.718286344,COOSA
16,1039,COVINGTON,AL,37886,856,East South Central,South-East,0.367121559,856,0,0,1.320318542,0,0,0,9.54516054,COVINGTON
17,1041,CRENSHAW,AL,13986,296,East South Central,South-East,0.20758571,296,0,0,0.62899653,0,0,0,5.397228468,CRENSHAW
18,1043,CULLMAN,AL,80811,3262,East South Central,South-East,0.385699863,3262,0,1.552841969,0.883917847,2.113943352,0.304883962,0,10.79959618,CULLMAN
19,1045,DALE,AL,49884,1112,East South Central,South-East,0.181128673,1112,0,0,0.724707432,0.424881637,0,0,5.977246214,DALE
20,1047,DALLAS,AL,41996,974,East South Central,South-East,0.36344451,974,0,0,1.060036066,0.439332694,0,0,9.449557267,DALLAS
21,1049,DE KALB,AL,71013,12740,East South Central,South-East,0.310066126,12740,0,0.617299958,0.813943572,2.113943352,0.177824465,0,8.681851536,DE-KALB
22,1051,ELMORE,AL,80902,1124,East South Central,South-East,0.342708958,1124,0.017848391,0.15490196,1.105913958,1.681241237,0,0,8.9104329,ELMORE
23,1053,ESCAMBIA,AL,37983,1000,East South Central,South-East,0.452500746,1000,0,0,1.439652432,1.525044807,0,0,11.76501939,ESCAMBIA
24,1055,ETOWAH,AL,103931,2968,East South Central,South-East,0.427355002,2968,0,0.552841969,0.844105279,2.113943352,0.207173008,0,8.974455043,ETOWAH
25,1057,FAYETTE,AL,16909,72,East South Central,South-East,0.198836732,72,0,0,0.490564097,0.340444115,0,0,5.169755037,FAYETTE
26,1059,FRANKLIN,AL,31532,5942,East South Central,South-East,0.499139397,5942,0,1.15490196,1.177807918,1.903089987,0.095671878,0,12.97762433,FRANKLIN
27,1061,GENEVA,AL,26727,112,East South Central,South-East,0,112,0,0,0,0,0,0,0,GENEVA
28,1065,HALE,AL,15406,288,East South Central,South-East,0.330408168,288,0,0,0.956865494,1.004321374,0,0,8.590612377,HALE
29,1067,HENRY,AL,17296,328,East South Central,South-East,0.140837689,328,0,0,0.573920624,0,0,0,4.647643729,HENRY
30,1069,HOUSTON,AL,103668,1602,East South Central,South-East,0.268405436,1602,0.052568112,0,1.148035347,0.39707055,0,0,8.857379397,HOUSTON
31,1071,JACKSON,AL,52951,2632,East South Central,South-East,0.409043092,2632,0,0.660051938,0.79149381,2.113943352,0.177824465,0,8.589904942,JACKSON
32,1073,JEFFERSON,AL,659479,1722,East South Central,South-East,0.256816956,1722,0,0.756961951,0.977281926,1.812913357,0,0,8.474959549,JEFFERSON
33,1075,LAMAR,AL,14236,72,East South Central,South-East,0.198836732,72,0,0,0.490564097,0.340444115,0,0,5.169755037,LAMAR
34,1077,LAUDERDALE,AL,92797,1432,East South Central,South-East,0.318775357,1432,0,1.123384909,0.807351482,1.491361694,0.029348543,0,8.28815927,LAUDERDALE
35,1079,LAWRENCE,AL,33587,1544,East South Central,South-East,0.5157208,1544,0,1.552841969,1.011100035,1.903089987,0.267909171,0,13.40874079,LAWRENCE
36,1081,LEE,AL,150933,728,East South Central,South-East,0.322395148,728,0,0.410174465,0.763662067,1.77815125,0,0,6.770298118,LEE
37,1083,LIMESTONE,AL,88845,504,East South Central,South-East,0.317151308,504,0,0,0.855855442,1.525044807,0,0,6.660177458,LIMESTONE
38,1085,LOWNDES,AL,10703,254,East South Central,South-East,0.28546901,254,0,0,0.934077277,0.439332694,0,0,7.422194257,LOWNDES
39,1087,MACON,AL,19688,392,East South Central,South-East,0.274833468,392,0,0.079181246,0.706246119,1.45484486,0,0,5.771502819,MACON
40,1089,MADISON,AL,346892,1302,East South Central,South-East,0.272944596,1302,0,0.477121255,0.940047105,1.525044807,0,0,7.642448691,MADISON
41,1091,MARENGO,AL,20155,596,East South Central,South-East,0.188101109,596,0,0,0.776926594,0,0,0,6.207336601,MARENGO
42,1093,MARION,AL,30334,2272,East South Central,South-East,0.320988477,2272,0,0,0.693976134,1.903089987,0,0,8.345700391,MARION
43,1095,MARSHALL,AL,94760,6762,East South Central,South-East,0.334458115,6762,0,0.660051938,0.920647524,2.113943352,0.177824465,0,9.364827222,MARSHALL
44,1097,MOBILE,AL,414079,6783,East South Central,South-East,0.391349225,6783,0.157523192,0.853871964,1.264378443,1.414973348,0,0,10.95777831,MOBILE
45,1101,MONTGOMERY,AL,226659,966,East South Central,South-East,0.315129506,966,0.017848391,0.15490196,1.145669245,1.669770003,0,0,8.823626172,MONTGOMERY
46,1103,MORGAN,AL,119787,1260,East South Central,South-East,0.341021018,1260,0,1.552841969,0.791633709,1.638489257,0.267909171,0,9.548588503,MORGAN
47,1105,PERRY,AL,10020,614,East South Central,South-East,0.352429939,614,0,0,1.052293166,1.004321374,0,0,9.163178411,PERRY
48,1107,PICKENS,AL,19401,464,East South Central,South-East,0.376345501,464,0,0,1.259768764,0.340444115,0,0,9.784983038,PICKENS
49,1109,PIKE,AL,33339,846,East South Central,South-East,0.136811764,846,0,0,0.587347402,0,0,0,3.557105854,PIKE
50,1111,RANDOLPH,AL,22727,28,East South Central,South-East,0.005913241,28,0,0,0,0,0,0.005913241,0.041392685,RANDOLPH
51,1113,RUSSELL,AL,59585,560,East South Central,South-East,0.301984064,560,0,0.410174465,1.044538011,1.77815125,0,0,8.455553781,RUSSELL
52,1115,ST. CLAIR,AL,86308,1472,East South Central,South-East,0.393991405,1472,0,0.756961951,1.079958322,1.100370545,0.137318124,0,10.24377654,ST.-CLAIR
53,1117,SHELBY,AL,204180,1918,East South Central,South-East,0.429930097,1918,0,0.756961951,1.10719686,1.62838893,0,0,9.028532039,SHELBY
54,1119,SUMTER,AL,13361,168,East South Central,South-East,0.17747613,168,0,0,0.621166455,0,0,0,3.726998729,SUMTER
55,1121,TALLADEGA,AL,81096,1063,East South Central,South-East,0.394049589,1063,0.103856961,1.711204461,0.789988029,1.096910013,0,0,8.275041379,TALLADEGA
56,1123,TALLAPOOSA,AL,41203,280,East South Central,South-East,0.281195833,280,0,0.079181246,0.690781667,1.681241237,0,0,5.905112487,TALLAPOOSA
57,1125,TUSCALOOSA,AL,200821,856,East South Central,South-East,0.252686609,856,0,0,0.773303065,1.812913357,0,0,8.338658089,TUSCALOOSA
58,1127,WALKER,AL,65998,656,East South Central,South-East,0.277677305,656,0,0,0.519360802,1.740362689,0,0,7.219609921,WALKER
59,1129,WASHINGTON,AL,16877,756,East South Central,South-East,0.199079989,756,0,0,0.693211055,1.414973348,0,0,5.574239678,WASHINGTON
60,1133,WINSTON,AL,24146,1728,East South Central,South-East,0.545628194,1728,0,1.552841969,1.010438556,1.903089987,0.267909171,0,14.18633305,WINSTON
61,2020,ANCHORAGE,AK,300950,1246,Pacific,North-West,0.306102851,1246,0,0,1.251533754,1.903089987,0,0.002034348,10.10139409,ANCHORAGE
62,2090,FAIRBANKS NORTH STAR,AK,100436,616,Pacific,North-West,0.260301526,616,0.017848391,0,0.66815914,1.33243846,0,0,5.466332039,FAIRBANKS-NORTH-STAR
63,2110,JUNEAU,AK,32660,140,Pacific,North-West,0.174977029,140,0,0,0.496652068,0.694605199,0,0,3.674517609,JUNEAU
64,2122,KENAI PENINSULA,AK,57147,354,Pacific,North-West,0.225658733,354,0,0,0.73831895,1.217483944,0,0,7.44673819,KENAI-PENINSULA
65,2170,MATANUSKA-SUSITNA,AK,95192,168,Pacific,North-West,0.361396703,168,0.126034264,0,0.958808067,0.954242509,0,0,7.589330758,MATANUSKA-SUSITNA
66,2185,NORTH SLOPE BOROUH,AK,9686,28,Pacific,North-West,0,28,0,0,0,0,0,0,0,NORTH-SLOPE-BOROUH
67,4001,APACHE,AZ,71934,882,Mountain,South-West,0,14,0,0,0,0,0,0,0,APACHE
68,4003,COCHISE,AZ,129473,2003,Mountain,South-West,0.395243778,2003,0.160316554,0.808114474,1.651161463,1.041392685,0,0,13.04304467,COCHISE
69,4005,COCONINO,AZ,136539,1213,Mountain,South-West,0.35890348,1141,0,0.870905304,1.329045357,1.204119983,0,0,10.04929743,COCONINO
70,4007,GILA,AZ,53053,1473,Mountain,South-West,0.650641497,1473,0.272512927,0.967815317,1.887047792,1.556302501,0.06336854,0,16.91667893,GILA
71,4009,GRAHAM,AZ,37482,280,Mountain,South-West,0.393698438,280,0,0,1.377944533,0,0,0,8.267667199,GRAHAM
72,4013,MARICOPA,AZ,4009412,176902,Mountain,South-West,0.765751978,176390,0.388402402,0.895264649,2.379810071,1.77815125,0.522720689,0,25.26981527,MARICOPA
73,4015,MOHAVE,AZ,203030,1311,Mountain,South-West,0.639948319,1311,0,0.089400411,2.245012441,1.698970004,0,0,16.6386563,MOHAVE
74,4017,NAVAJO,AZ,107322,844,Mountain,South-West,0.461668728,704,0,0.711204461,1.31987841,1.301029996,0,0,12.00338692,NAVAJO
75,4019,PIMA,AZ,996554,59999,Mountain,South-West,0.577991796,59875,0.334631812,1.980976763,1.84462027,1.875061263,0.215376012,0,19.07372926,PIMA
76,4021,PINAL,AZ,389350,9567,Mountain,South-West,0.675679755,9567,0.09601398,1.980976763,2.205556625,1.740362689,0.215376012,0,18.91903313,PINAL
77,4023,SANTA CRUZ,AZ,46768,336,Mountain,South-West,0.442534864,336,0,0,1.393968871,0.929418926,0,0,9.293232151,SANTA-CRUZ
78,4025,YAVAPAI,AZ,215133,2416,Mountain,South-West,0.41288725,2416,0.046765562,0,1.93491675,1.204119983,0,0,13.62527925,YAVAPAI
79,4027,YUMA,AZ,201201,994,Mountain,South-West,0.430295552,994,0.083368084,0,1.589213323,1.929418926,0,0,12.04827545,YUMA
80,5001,ARKANSAS,AR,18777,98,West South Central,South-East,0.241597845,98,0,0,0.574878774,1.624282096,0,0,5.073554741,ARKANSAS
81,5005,BAXTER,AR,40957,112,West South Central,South-East,0.215254502,112,0,0,0.595976977,0.944482672,0,0,4.520344536,BAXTER
82,5007,BENTON,AR,237297,623,West South Central,South-East,0.189842663,623,0,0,0.733190102,0.916453949,0,0,5.315594559,BENTON
83,5009,BOONE,AR,37396,400,West South Central,South-East,0.102973962,400,0,0,0.446220501,0,0,0,2.677323008,BOONE
84,5011,BRADLEY,AR,11249,352,West South Central,South-East,0.172234049,352,0,0,0.522610434,0,0,0,4.478085283,BRADLEY
85,5015,CARROLL,AR,27808,525,West South Central,South-East,0.105905256,525,0,0,0.526002451,0.311753861,0,0,3.494873433,CARROLL
86,5019,CLARK,AR,22743,112,West South Central,South-East,0.311266542,112,0,0,1.089432897,0,0,0,6.536597384,CLARK
87,5021,CLAY,AR,15402,176,West South Central,South-East,0.147905081,176,0,0,0.493173565,0,0,0,3.845532117,CLAY
88,5023,CLEBURNE,AR,25686,796,West South Central,South-East,0.218422104,796,0,0,0.697258728,1.788848634,0,0,7.207929448,CLEBURNE
89,5025,CLEVELAND,AR,8593,1192,West South Central,South-East,0.172234049,1192,0,0,0.522610434,0,0,0,4.478085283,CLEVELAND
90,5027,COLUMBIA,AR,24164,296,West South Central,South-East,0.306558324,296,0.023266142,0.433655561,0.85941899,1.740362689,0,0,7.970516436,COLUMBIA
91,5029,CONWAY,AR,21245,256,West South Central,South-East,0.233099726,256,0,0,0.62396402,0.086359831,0,0,6.060592873,CONWAY
92,5031,CRAIGHEAD,AR,101488,140,West South Central,South-East,0.253871902,140,0,0,0.801804402,0.520483533,0,0,5.331309943,CRAIGHEAD
93,5033,CRAWFORD,AR,61640,140,West South Central,South-East,0.126145263,140,0,0,0.588677895,0,0,0,3.532067371,CRAWFORD
94,5035,CRITTENDEN,AR,49746,56,West South Central,South-East,0.105215001,56,0,0,0.368252503,0,0,0,2.209515015,CRITTENDEN
95,5037,CROSS,AR,17548,182,West South Central,South-East,0.358928498,182,0,0,1.150924607,0.631950826,0,0,7.537498467,CROSS
96,5039,DALLAS,AR,7933,112,West South Central,South-East,0.311266542,112,0,0,1.089432897,0,0,0,6.536597384,DALLAS
97,5043,DREW,AR,18785,56,West South Central,South-East,0.211296911,56,0,0,0.739539188,0,0,0,4.437235126,DREW
98,5045,FAULKNER,AR,119580,364,West South Central,South-East,0.280044368,364,0,0,1.14166937,0.991226076,0,0,7.841242294,FAULKNER
99,5047,FRANKLIN,AR,18034,28,West South Central,South-East,0,28,0,0,0,0,0,0,0,FRANKLIN
100,5051,GARLAND,AR,97173,1072,West South Central,South-East,0.362332738,1072,0,0,1.026380527,1.33243846,0,0,9.420651181,GARLAND
101,5053,GRANT,AR,18019,732,West South Central,South-East,0.290029854,732,0,0,0.722100614,0.977723605,0,0,7.540776207,GRANT
102,5055,GREENE,AR,43097,372,West South Central,South-East,0.264343322,372,0,0,0.91099202,0.520483533,0,0,6.872926376,GREENE
103,5059,HOT SPRING,AR,33500,704,West South Central,South-East,0.395307984,704,0,0,1.16927326,1.33243846,0,0,10.27800758,HOT-SPRING
104,5063,INDEPENDENCE,AR,36997,1008,West South Central,South-East,0.193172232,1008,0,0,0.450553444,1.554682339,0,0,5.022478031,INDEPENDENCE
105,5067,JACKSON,AR,17615,182,West South Central,South-East,0.358928498,182,0,0,1.150924607,0.631950826,0,0,7.537498467,JACKSON
106,5069,JEFFERSON,AR,73191,658,West South Central,South-East,0.218292874,658,0,0,0.574878774,1.624282096,0,0,5.675614732,JEFFERSON
107,5071,JOHNSON,AR,25846,28,West South Central,South-East,0,28,0,0,0,0,0,0,0,JOHNSON
108,5077,LEE,AR,10015,86,West South Central,South-East,0.219211396,86,0,0,1.205662676,0,0,0,7.233976053,LEE
109,5079,LINCOLN,AR,14031,616,West South Central,South-East,0.230912268,616,0,0,0.900276495,0,0,0,6.003718963,LINCOLN
110,5083,LOGAN,AR,22082,84,West South Central,South-East,0.004004103,84,0,0,0,0,0,0.004004103,0.028028724,LOGAN
111,5085,LONOKE,AR,70753,266,West South Central,South-East,0.428455795,266,0,0,1.2288816,1.624282096,0,0,8.997571693,LONOKE
112,5087,MADISON,AR,15701,168,West South Central,South-East,0,168,0,0,0,0,0,0,0,MADISON
113,5089,MARION,AR,16430,224,West South Central,South-East,0.227203083,224,0,0,0.63779701,0.944482672,0,0,4.771264734,MARION
114,5093,MISSISSIPPI,AR,44765,112,West South Central,South-East,0.169120539,112,0,0,0.591921887,0,0,0,3.551531319,MISSISSIPPI
