COUNTY,ZIPCODE,PWSID,"AnalyticalResultValue.1,1-dichloroethane","AnalyticalResultValue.1,2,3-trichloropropane","AnalyticalResultValue.1,3-butadiene","AnalyticalResultValue.1,4-dioxane",AnalyticalResultValue.17-alpha-ethynylestrad,AnalyticalResultValue.17-beta-estradiol,"AnalyticalResultValue.4-androstene-3,17-dion",AnalyticalResultValue.Aerobic spores,AnalyticalResultValue.E. coli,AnalyticalResultValue.Enterococci,AnalyticalResultValue.Enteroviruses (RT-qPCR,AnalyticalResultValue.Enteroviruses (cell cu,AnalyticalResultValue.HCFC-22,AnalyticalResultValue.Halon 1011,AnalyticalResultValue.Male specific phage,AnalyticalResultValue.Noroviruses GIA,AnalyticalResultValue.Noroviruses GIB,AnalyticalResultValue.Noroviruses GII,AnalyticalResultValue.PFBS,AnalyticalResultValue.PFHpA,AnalyticalResultValue.PFHxS,AnalyticalResultValue.PFNA,AnalyticalResultValue.PFOA,AnalyticalResultValue.PFOS,AnalyticalResultValue.Somatic phage,AnalyticalResultValue.Total coliforms,AnalyticalResultValue.bromomethane,AnalyticalResultValue.chlorate,AnalyticalResultValue.chloromethane,AnalyticalResultValue.chromium,AnalyticalResultValue.chromium-6,AnalyticalResultValue.cobalt,AnalyticalResultValue.equilin,AnalyticalResultValue.estriol,AnalyticalResultValue.estrone,AnalyticalResultValue.germanium,AnalyticalResultValue.manganese,AnalyticalResultValue.molybdenum,AnalyticalResultValue.n-propylbenzene,AnalyticalResultValue.sec-butylbenzene,AnalyticalResultValue.strontium,AnalyticalResultValue.tellurium,AnalyticalResultValue.testosterone,AnalyticalResultValue.vanadium,"indices.1,1-dichloroethane","indices.1,2,3-trichloropropane","indices.1,3-butadiene","indices.1,4-dioxane",indices.17-alpha-ethynylestrad,indices.17-beta-estradiol,"indices.4-androstene-3,17-dion",indices.Aerobic spores,indices.E. coli,indices.Enterococci,indices.Enteroviruses (RT-qPCR,indices.Enteroviruses (cell cu,indices.HCFC-22,indices.Halon 1011,indices.Male specific phage,indices.Noroviruses GIA,indices.Noroviruses GIB,indices.Noroviruses GII,indices.PFBS,indices.PFHpA,indices.PFHxS,indices.PFNA,indices.PFOA,indices.PFOS,indices.Somatic phage,indices.Total coliforms,indices.bromomethane,indices.chlorate,indices.chloromethane,indices.chromium,indices.chromium-6,indices.cobalt,indices.equilin,indices.estriol,indices.estrone,indices.germanium,indices.manganese,indices.molybdenum,indices.n-propylbenzene,indices.sec-butylbenzene,indices.strontium,indices.tellurium,indices.testosterone,indices.vanadium,countyname,state,indices.sum,population
6037,93560,CA5610059,0.31,0.048,0.070710678,7.8,0.000636396,0.000282843,0.00041,,,,,,0.708,0.98,,,,,0.06363961,0.014,0.021213203,0.014142136,0.029,0.065,,,2.2,1100,11,27,16,5.3,0.002828427,0.0011,0.001414214,0.707106781,6.74,41,0.021213203,0.028284271,2200,0.707106781,0.00024,48,2,1,0,3,0,0,1,,,,,,1,2,,,,,0,1,0,0,1,1,,,2,2,2,3,3,1,0,1,0,0,1,2,0,0,4,0,1,3,LOS ANGELES,CA,38,10017068.00
17031,60827,IL1970400,0.04,0.021213203,0.070710678,1.46,0.000636396,0.000282843,0.0008,,,,,,0.51,0.07,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,1460.93,0.9,72,1,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,12,30.688,0.021213203,0.028284271,7548.38,0.707106781,0.00023,2.2,1,0,0,2,0,0,1,,,,,,1,1,,,,,0,0,0,0,0,0,,,0,2,1,3,2,0,0,0,0,0,2,2,0,0,5,0,1,2,COOK,IL,26,5240700.00
48201,77586,TX1700068,0.021213203,0.021213203,0.070710678,1.15,0.00156,0.000282843,0.000335,,,,,,0.056568542,0.536,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.52,13600,0.739,6,6.661,2.78,0.002828427,0.000565685,0.001414214,0.707106781,150,14,0.021213203,0.028284271,1040,0.707106781,7.07E-05,25,0,0,0,2,1,0,1,,,,,,0,1,,,,,0,0,0,0,0,0,,,1,3,1,2,3,1,0,0,0,0,3,2,0,0,4,0,0,3,HARRIS,TX,28,4336853.00
4013,85392,PA1090892,0.07,0.05,0.070710678,0.55,0.000636396,0.000282843,0.000212132,,,,,,1.7,0.38,,,,,0.06363961,0.03,0.73,0.014142136,0.05,0.3,,,0.141421356,1200,0.141421356,73,62,1.7,0.002828427,0.000565685,0.001414214,0.707106781,290,18,0.021213203,0.028284271,13000,0.707106781,7.07E-05,72,1,1,0,1,0,0,0,,,,,,2,1,,,,,0,1,2,0,1,1,,,0,2,0,3,4,1,0,0,0,0,3,2,0,0,5,0,0,3,MARICOPA,AZ,34,4009412.00
6073,92672,CA3710702,0.021213203,0.021213203,0.070710678,0.24,0.000636396,0.000282843,0.000212132,,,,,,0.16,0.75,,,,,0.06363961,0.022,0.12,0.014142136,0.053,0.082,,,0.141421356,1800,0.141421356,1.2,1.5,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,0.707106781,15,0.021213203,0.028284271,1300,0.707106781,7.07E-05,26,0,0,0,1,0,0,0,,,,,,1,2,,,,,0,1,1,0,1,1,,,0,2,0,1,2,0,0,0,0,0,0,2,0,0,4,0,0,3,SAN DIEGO,CA,22,3211252.00
6059,92887,CA3010101,0.23,0.021213203,0.070710678,5.9,0.000636396,0.000282843,0.000212132,,,,,,0.708,0.78,,,,,0.06363961,0.0115,0.021213203,0.014142136,0.0291,0.07,,,0.141421356,2000,0.32,94,9,2.9,0.002828427,0.000565685,0.001414214,0.707106781,0.707106781,49.9,0.021213203,0.028284271,1300,0.707106781,7.07E-05,7.7,1,0,0,2,0,0,0,,,,,,1,2,,,,,0,1,0,0,1,1,,,0,3,1,3,3,1,0,0,0,0,0,2,0,0,4,0,0,2,ORANGE,CA,28,3114363.00
12086,33181,FL4134513,0.021213203,0.021213203,0.070710678,0.34,0.000636396,0.000282843,0.000212132,,,,,,1.3,0.074,,,,,0.06363961,0.024,0.021213203,0.014142136,0.014142136,0.058,,,0.141421356,1000,0.141421356,1.2,0.22,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,13,5.8,0.021213203,0.028284271,1100,0.707106781,7.07E-05,2,0,0,0,1,0,0,0,,,,,,2,1,,,,,0,1,0,0,0,1,,,0,2,0,1,1,0,0,0,0,0,2,1,0,0,4,0,0,2,MIAMI-DADE,FL,19,2617176.00
48113,76065,TX0700067,0.021213203,0.021213203,0.070710678,0.12,0.000636396,0.000282843,0.0022,,,,,,0.056568542,0.52,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,1410,0.141421356,1.41,0.694,2.17,0.002828427,0.000565685,0.001414214,0.707106781,25,8.37,0.021213203,0.028284271,906,0.707106781,7.07E-05,3.55,0,0,0,1,0,0,1,,,,,,0,1,,,,,0,0,0,0,0,0,,,0,2,0,1,2,1,0,0,0,0,2,1,0,0,4,0,0,2,DALLAS,TX,18,2480331.00
36081,11580,NY7003493,0.064,0.51,0.070710678,10,0.000636396,0.000282843,0.000212132,,,,,,0.49,0.042426407,,,,,0.06363961,0.007071068,0.021213203,0.032,0.032,0.028284271,,,0.2,680,0.8,31,1.1,8,0.002828427,0.000565685,0.001414214,,,0.707106781,,,170,,7.07E-05,0.8,1,2,0,3,0,0,0,,,,,,1,0,,,,,0,0,0,1,1,0,,,1,2,1,3,2,1,0,0,0,,,0,,,3,,0,1,QUEENS,NY,23,2296175.00
6065,92883,CA3710016,0.12,0.13,0.070710678,4.7,0.000636396,0.000282843,0.000212132,,,,,,0.18,0.31,,,,,0.06363961,0.022,0.12,0.014142136,0.053,0.082,,,0.2,2500,5.3,21,20,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,1.1,33,0.021213203,0.028284271,2400,0.707106781,0.00034,110,1,1,0,2,0,0,0,,,,,,1,1,,,,,0,1,1,0,1,1,,,1,3,2,3,3,0,0,0,0,0,1,2,0,0,4,0,1,3,RIVERSIDE,CA,33,2292507.00
