,COUNTY,"AnalyticalResultValue.count.1,1-dichloroethane","AnalyticalResultValue.count.1,2,3-trichloropropane","AnalyticalResultValue.count.1,3-butadiene","AnalyticalResultValue.count.1,4-dioxane",AnalyticalResultValue.count.17-alpha-ethynylestrad,AnalyticalResultValue.count.17-beta-estradiol,"AnalyticalResultValue.count.4-androstene-3,17-dion",AnalyticalResultValue.count.Aerobic spores,AnalyticalResultValue.count.E. coli,AnalyticalResultValue.count.Enterococci,AnalyticalResultValue.count.Enteroviruses (RT-qPCR,AnalyticalResultValue.count.Enteroviruses (cell cu,AnalyticalResultValue.count.HCFC-22,AnalyticalResultValue.count.Halon 1011,AnalyticalResultValue.count.Male specific phage,AnalyticalResultValue.count.Noroviruses GIA,AnalyticalResultValue.count.Noroviruses GIB,AnalyticalResultValue.count.Noroviruses GII,AnalyticalResultValue.count.PFBS,AnalyticalResultValue.count.PFHpA,AnalyticalResultValue.count.PFHxS,AnalyticalResultValue.count.PFNA,AnalyticalResultValue.count.PFOA,AnalyticalResultValue.count.PFOS,AnalyticalResultValue.count.Somatic phage,AnalyticalResultValue.count.Total coliforms,AnalyticalResultValue.count.bromomethane,AnalyticalResultValue.count.chlorate,AnalyticalResultValue.count.chloromethane,AnalyticalResultValue.count.chromium,AnalyticalResultValue.count.chromium-6,AnalyticalResultValue.count.cobalt,AnalyticalResultValue.count.equilin,AnalyticalResultValue.count.estriol,AnalyticalResultValue.count.estrone,AnalyticalResultValue.count.germanium,AnalyticalResultValue.count.manganese,AnalyticalResultValue.count.molybdenum,AnalyticalResultValue.count.n-propylbenzene,AnalyticalResultValue.count.sec-butylbenzene,AnalyticalResultValue.count.strontium,AnalyticalResultValue.count.tellurium,AnalyticalResultValue.count.testosterone,AnalyticalResultValue.count.vanadium,"indices.count.1,1-dichloroethane","indices.count.1,2,3-trichloropropane","indices.count.1,3-butadiene","indices.count.1,4-dioxane",indices.count.17-alpha-ethynylestrad,indices.count.17-beta-estradiol,"indices.count.4-androstene-3,17-dion",indices.count.Aerobic spores,indices.count.E. coli,indices.count.Enterococci,indices.count.Enteroviruses (RT-qPCR,indices.count.Enteroviruses (cell cu,indices.count.HCFC-22,indices.count.Halon 1011,indices.count.Male specific phage,indices.count.Noroviruses GIA,indices.count.Noroviruses GIB,indices.count.Noroviruses GII,indices.count.PFBS,indices.count.PFHpA,indices.count.PFHxS,indices.count.PFNA,indices.count.PFOA,indices.count.PFOS,indices.count.Somatic phage,indices.count.Total coliforms,indices.count.bromomethane,indices.count.chlorate,indices.count.chloromethane,indices.count.chromium,indices.count.chromium-6,indices.count.cobalt,indices.count.equilin,indices.count.estriol,indices.count.estrone,indices.count.germanium,indices.count.manganese,indices.count.molybdenum,indices.count.n-propylbenzene,indices.count.sec-butylbenzene,indices.count.strontium,indices.count.tellurium,indices.count.testosterone,indices.count.vanadium,"AnalyticalResultValue.max.1,1-dichloroethane","AnalyticalResultValue.max.1,2,3-trichloropropane","AnalyticalResultValue.max.1,3-butadiene","AnalyticalResultValue.max.1,4-dioxane",AnalyticalResultValue.max.17-alpha-ethynylestrad,AnalyticalResultValue.max.17-beta-estradiol,"AnalyticalResultValue.max.4-androstene-3,17-dion",AnalyticalResultValue.max.Aerobic spores,AnalyticalResultValue.max.E. coli,AnalyticalResultValue.max.Enterococci,AnalyticalResultValue.max.Enteroviruses (RT-qPCR,AnalyticalResultValue.max.Enteroviruses (cell cu,AnalyticalResultValue.max.HCFC-22,AnalyticalResultValue.max.Halon 1011,AnalyticalResultValue.max.Male specific phage,AnalyticalResultValue.max.Noroviruses GIA,AnalyticalResultValue.max.Noroviruses GIB,AnalyticalResultValue.max.Noroviruses GII,AnalyticalResultValue.max.PFBS,AnalyticalResultValue.max.PFHpA,AnalyticalResultValue.max.PFHxS,AnalyticalResultValue.max.PFNA,AnalyticalResultValue.max.PFOA,AnalyticalResultValue.max.PFOS,AnalyticalResultValue.max.Somatic phage,AnalyticalResultValue.max.Total coliforms,AnalyticalResultValue.max.bromomethane,AnalyticalResultValue.max.chlorate,AnalyticalResultValue.max.chloromethane,AnalyticalResultValue.max.chromium,AnalyticalResultValue.max.chromium-6,AnalyticalResultValue.max.cobalt,AnalyticalResultValue.max.equilin,AnalyticalResultValue.max.estriol,AnalyticalResultValue.max.estrone,AnalyticalResultValue.max.germanium,AnalyticalResultValue.max.manganese,AnalyticalResultValue.max.molybdenum,AnalyticalResultValue.max.n-propylbenzene,AnalyticalResultValue.max.sec-butylbenzene,AnalyticalResultValue.max.strontium,AnalyticalResultValue.max.tellurium,AnalyticalResultValue.max.testosterone,AnalyticalResultValue.max.vanadium,"indices.max.1,1-dichloroethane","indices.max.1,2,3-trichloropropane","indices.max.1,3-butadiene","indices.max.1,4-dioxane",indices.max.17-alpha-ethynylestrad,indices.max.17-beta-estradiol,"indices.max.4-androstene-3,17-dion",indices.max.Aerobic spores,indices.max.E. coli,indices.max.Enterococci,indices.max.Enteroviruses (RT-qPCR,indices.max.Enteroviruses (cell cu,indices.max.HCFC-22,indices.max.Halon 1011,indices.max.Male specific phage,indices.max.Noroviruses GIA,indices.max.Noroviruses GIB,indices.max.Noroviruses GII,indices.max.PFBS,indices.max.PFHpA,indices.max.PFHxS,indices.max.PFNA,indices.max.PFOA,indices.max.PFOS,indices.max.Somatic phage,indices.max.Total coliforms,indices.max.bromomethane,indices.max.chlorate,indices.max.chloromethane,indices.max.chromium,indices.max.chromium-6,indices.max.cobalt,indices.max.equilin,indices.max.estriol,indices.max.estrone,indices.max.germanium,indices.max.manganese,indices.max.molybdenum,indices.max.n-propylbenzene,indices.max.sec-butylbenzene,indices.max.strontium,indices.max.tellurium,indices.max.testosterone,indices.max.vanadium,countyname,state,indices.avg,counts.sum,voc.indices.avg,soc.indices.avg,metal.indices.avg,dbp.indices.avg,pfas.indices.avg,horm.indices.avg,indices.sum
0,1001,59.0,59.0,59.0,59.0,4.0,4.0,4.0,,,,,,59.0,59.0,,,,,59.0,59.0,59.0,59.0,59.0,59.0,,,59.0,120.0,59.0,120.0,118.0,120.0,4.0,4.0,4.0,56.0,56.0,120.0,28.0,28.0,120.0,56.0,4.0,120.0,59.0,59.0,59.0,59.0,4.0,4.0,4.0,,,,,,59.0,59.0,,,,,59.0,59.0,59.0,59.0,59.0,59.0,,,59.0,120.0,59.0,120.0,118.0,120.0,4.0,4.0,4.0,56.0,56.0,120.0,28.0,28.0,120.0,56.0,4.0,120.0,0.03,0.021213202999999996,0.070710678,0.049497475,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.06,,,,,0.06363961,0.02,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,14.14213562,0.141421356,1.7,0.34,0.7071067809999999,0.002828427,0.000565685,0.001414214,0.7071067809999999,446.69199999999995,1.8,0.021213202999999996,0.028284271,1300.0,0.7071067809999999,7.070000000000001e-05,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,0.301029996,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.929418926,1.0543576620000001,0.0,0.0,0.0,0.0,0.0,2.650008175,0.255272505,0.0,0.0,3.636822098,0.0,0.0,0.382917135,Autauga,AL,0.2790856514242424,1916.0,0.0,0.0,1.0431313876666668,0.0,0.050171666000000004,0.0,9.209826497
1,1003,122.0,122.0,122.0,122.0,,,,,,,,,122.0,122.0,,,,,122.0,122.0,122.0,122.0,122.0,122.0,,,122.0,172.0,122.0,172.0,172.0,172.0,,,,,,172.0,,,172.0,,,172.0,122.0,122.0,122.0,122.0,,,,,,,,,122.0,122.0,,,,,122.0,122.0,122.0,122.0,122.0,122.0,,,122.0,172.0,122.0,172.0,172.0,172.0,,,,,,172.0,,,172.0,,,172.0,0.1,0.06,0.070710678,0.28,,,,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,560.0,0.141421356,4.1,3.2,2.4,,,,,,0.7071067809999999,,,170.0,,,0.4,0.522878745,0.301029996,0.0,0.602059991,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.4471580309999998,0.0,1.311753861,2.028028724,0.380211242,,,,,,0.0,,,2.7533276669999998,,,0.301029996,Baldwin,AL,0.4594037263333333,2912.0,0.11770124871428571,0.602059991,1.1290585816666665,1.4471580309999998,0.0,,9.647478253
2,1005,14.0,14.0,14.0,14.0,32.0,32.0,32.0,,,,,,14.0,14.0,,,,,14.0,14.0,14.0,14.0,14.0,14.0,,,14.0,28.0,14.0,28.0,28.0,28.0,32.0,32.0,32.0,,,28.0,,,28.0,,32.0,28.0,14.0,14.0,14.0,14.0,32.0,32.0,32.0,,,,,,14.0,14.0,,,,,14.0,14.0,14.0,14.0,14.0,14.0,,,14.0,28.0,14.0,28.0,28.0,28.0,32.0,32.0,32.0,,,28.0,,,28.0,,32.0,28.0,0.021213202999999996,0.021213202999999996,0.070710678,0.049497475,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,14.14213562,0.141421356,0.42,0.045,0.7071067809999999,0.002828427,0.000565685,0.001414214,,,0.7071067809999999,,,26.0,,7.070000000000001e-05,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.322219295,0.17609125899999994,0.0,0.0,0.0,0.0,,,0.0,,,1.937852093,,0.0,0.361727836,Barbour,AL,0.09992466010714286,616.0,0.0,0.0,0.46631508050000003,0.0,0.0,0.0,2.797890483
3,1007,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,8.0,8.0,,,,,8.0,8.0,8.0,8.0,8.0,8.0,,,8.0,16.0,8.0,16.0,16.0,16.0,8.0,8.0,8.0,,,16.0,,,16.0,,8.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,8.0,8.0,,,,,8.0,8.0,8.0,8.0,8.0,8.0,,,8.0,16.0,8.0,16.0,16.0,16.0,8.0,8.0,8.0,,,16.0,,,16.0,,8.0,16.0,0.021213202999999996,0.021213202999999996,0.070710678,0.049497475,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,1300.0,0.141421356,0.5,0.51,0.7071067809999999,0.002828427,0.000565685,0.001414214,,,1.4,,,110.0,,7.070000000000001e-05,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.8129133569999998,0.0,0.397940009,1.230448921,0.0,0.0,0.0,0.0,,,0.146128036,,,2.56427143,,0.0,0.301029996,Bibb,AL,0.23045470532142856,280.0,0.0,0.0,0.7733030653333333,1.8129133569999998,0.0,0.0,6.452731749
4,1009,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,,,,,80.0,80.0,80.0,80.0,80.0,80.0,,,80.0,158.0,80.0,158.0,158.0,158.0,,,,4.0,4.0,158.0,2.0,2.0,158.0,4.0,,158.0,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,,,,,80.0,80.0,80.0,80.0,80.0,80.0,,,80.0,158.0,80.0,158.0,158.0,158.0,,,,4.0,4.0,158.0,2.0,2.0,158.0,4.0,,158.0,0.021213202999999996,0.021213202999999996,0.070710678,0.24,,,,,,,,,0.056568542,0.042426407,,,,,0.15,0.02,0.021213202999999996,0.014142136000000001,0.04,0.07,,,0.141421356,2600.0,0.2,1.7,0.61,0.7071067809999999,,,,0.7071067809999999,0.7071067809999999,1.2,0.021213202999999996,0.028284271,87.0,0.7071067809999999,,0.8,0.0,0.0,0.0,0.535113202,,,,,,,,,0.0,0.0,,,,,0.22184875,0.301029996,0.0,0.0,0.301029996,0.24303804899999998,,,0.0,2.1139433519999997,0.0,0.929418926,1.30820858,0.0,,,,0.0,0.0,0.079181246,0.0,0.0,2.462397998,0.0,,0.602059991,Blount,AL,0.34989500330769235,2242.0,0.0,0.535113202,0.8968777901666668,2.1139433519999997,0.17782446516666664,,9.097270086000002
5,1011,24.0,24.0,24.0,24.0,,,,,,,,,24.0,24.0,,,,,24.0,24.0,24.0,24.0,24.0,24.0,,,24.0,42.0,24.0,42.0,42.0,42.0,,,,,,42.0,,,42.0,,,42.0,24.0,24.0,24.0,24.0,,,,,,,,,24.0,24.0,,,,,24.0,24.0,24.0,24.0,24.0,24.0,,,24.0,42.0,24.0,42.0,42.0,42.0,,,,,,42.0,,,42.0,,,42.0,0.021213202999999996,0.021213202999999996,0.070710678,0.049497475,,,,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,14.14213562,0.2,0.141421356,0.021213202999999996,0.7071067809999999,,,,,,1.1,,,810.0,,,0.141421356,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.041392685,,,3.431363764,,,0.0,Bullock,AL,0.1653693547142857,630.0,0.0,0.0,0.5787927414999999,0.0,0.0,,3.472756449
6,1013,8.0,8.0,8.0,8.0,,,,,,,,,8.0,8.0,,,,,8.0,8.0,8.0,8.0,8.0,8.0,,,8.0,16.0,8.0,16.0,16.0,16.0,,,,,,16.0,,,16.0,,,16.0,8.0,8.0,8.0,8.0,,,,,,,,,8.0,8.0,,,,,8.0,8.0,8.0,8.0,8.0,8.0,,,8.0,16.0,8.0,16.0,16.0,16.0,,,,,,16.0,,,16.0,,,16.0,0.021213202999999996,0.021213202999999996,0.070710678,0.049497475,,,,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,14.14213562,0.141421356,0.141421356,0.03,0.7071067809999999,,,,,,0.7071067809999999,,,270.0,,,0.141421356,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,2.9542425089999997,,,0.0,Butler,AL,0.1406782147142857,224.0,0.0,0.0,0.49237375149999996,0.0,0.0,,2.9542425089999997
7,1015,40.0,40.0,40.0,40.0,,,,,,,,,40.0,40.0,,,,,40.0,40.0,40.0,40.0,40.0,40.0,,,40.0,80.0,40.0,80.0,80.0,80.0,,,,,,80.0,,,80.0,,,80.0,40.0,40.0,40.0,40.0,,,,,,,,,40.0,40.0,,,,,40.0,40.0,40.0,40.0,40.0,40.0,,,40.0,80.0,40.0,80.0,80.0,80.0,,,,,,80.0,,,80.0,,,80.0,0.16,0.021213202999999996,0.070710678,3.6,,,,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,210.0,0.141421356,0.37,0.29,0.7071067809999999,,,,,,0.7071067809999999,,,48.0,,,0.5,0.726998728,0.0,0.0,1.711204461,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.021189299,0.0,0.267171728,0.985276743,0.0,,,,,,0.0,,,2.204119983,,,0.397940009,Calhoun,AL,0.34828099766666665,1120.0,0.10385696114285714,1.711204461,0.6424180771666667,1.021189299,0.0,,7.313900951
8,1017,16.0,16.0,16.0,16.0,,,,,,,,,16.0,16.0,,,,,16.0,16.0,16.0,16.0,16.0,16.0,,,16.0,32.0,16.0,32.0,32.0,32.0,,,,8.0,8.0,32.0,4.0,4.0,32.0,8.0,,32.0,16.0,16.0,16.0,16.0,,,,,,,,,16.0,16.0,,,,,16.0,16.0,16.0,16.0,16.0,16.0,,,16.0,32.0,16.0,32.0,32.0,32.0,,,,8.0,8.0,32.0,4.0,4.0,32.0,8.0,,32.0,0.021213202999999996,0.021213202999999996,0.070710678,0.23,,,,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,1200.0,0.141421356,0.633,0.42,0.7071067809999999,,,,0.7071067809999999,3.3,1.5,0.021213202999999996,0.028284271,39.1,0.7071067809999999,,0.57,0.0,0.0,0.0,0.516629796,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.77815125,0.0,0.500373714,1.146128036,0.0,,,,0.0,0.51851394,0.17609125899999994,0.0,0.0,2.1150555030000002,0.0,,0.45484486,Chambers,AL,0.27714570607692307,480.0,0.0,0.516629796,0.7320822286666667,1.77815125,0.0,,7.2057883579999995
9,1019,164.0,164.0,164.0,164.0,,,,,,,,,164.0,164.0,,,,,164.0,164.0,164.0,164.0,164.0,164.0,,,164.0,328.0,164.0,328.0,328.0,328.0,,,,,,328.0,,,328.0,,,328.0,164.0,164.0,164.0,164.0,,,,,,,,,164.0,164.0,,,,,164.0,164.0,164.0,164.0,164.0,164.0,,,164.0,328.0,164.0,328.0,328.0,328.0,,,,,,328.0,,,328.0,,,328.0,0.021213202999999996,0.021213202999999996,0.070710678,0.24,,,,,,,,,0.056568542,0.042426407,,,,,0.15,0.02,0.021213202999999996,0.014142136000000001,0.04,0.07,,,0.141421356,2600.0,0.2,0.5,0.53,0.7071067809999999,,,,,,1.2,,,150.0,,,0.6,0.0,0.0,0.0,0.535113202,,,,,,,,,0.0,0.0,,,,,0.22184875,0.301029996,0.0,0.0,0.301029996,0.24303804899999998,,,0.0,2.1139433519999997,0.0,0.397940009,1.247154615,0.0,,,,,,0.079181246,,,2.698970004,,,0.477121255,Cherokee,AL,0.4103033559047619,4592.0,0.0,0.535113202,0.8167278548333332,2.1139433519999997,0.17782446516666664,,8.616370474
